"cancellation_policy","room_type","construction_year","service_fee","minimum_nights","number_of_reviews","reviews_per_month","review_rate_number","availability_365","price_usd","months_active","max_stays_per_month"
"strict","Entire home/apt",2016,13,2,12,3.43,4,305,67,3.49854227405248,15.5
"flexible","Private room",2013,66,4,203,1.52,2,274,332,133.552631578947,7.75
"strict","Entire home/apt",2015,170,4,11,0.64,2,0,850,17.1875,7.75
"flexible","Private room",2012,124,2,7,0.26,3,71,622,26.9230769230769,15.5
"moderate","Private room",2018,91,3,26,2.83,5,46,456,9.18727915194346,10.3333333333333
"flexible","Entire home/apt",2022,177,7,4,0.33,2,163,885,12.1212121212121,4.42857142857143
"moderate","Private room",2003,131,2,9,1.38,4,365,656,6.52173913043478,15.5
"moderate","Private room",2005,76,1,155,1.78,5,328,378,87.0786516853933,31
"strict","Private room",2006,58,5,138,1.93,3,15,291,71.5025906735751,6.2
"strict","Private room",2013,37,4,43,1.41,4,58,185,30.4964539007092,7.75
"moderate","Entire home/apt",2013,169,3,4,0.14,2,0,846,28.5714285714286,10.3333333333333
"flexible","Entire home/apt",2005,30,1,34,3.01,2,20,150,11.2956810631229,31
"strict","Entire home/apt",2019,70,1,25,2.07,4,0,348,12.0772946859903,31
"moderate","Private room",2012,70,60,1,0.22,4,337,350,4.54545454545455,0.516666666666667
"strict","Shared room",2006,201,30,2,0.07,3,365,1003,28.5714285714286,1.03333333333333
"moderate","Private room",2006,131,1,98,3.25,1,350,656,30.1538461538462,31
"moderate","Entire home/apt",2007,102,2,1,0.05,4,0,511,20,15.5
"flexible","Private room",2004,119,5,4,0.15,1,0,593,26.6666666666667,6.2
"flexible","Private room",2019,128,1,10,0.87,5,356,641,11.4942528735632,31
"strict","Entire home/apt",2016,130,5,6,0.1,4,263,648,60,6.2
"flexible","Entire home/apt",2005,87,1,56,0.64,4,0,434,87.5,31
"moderate","Private room",2014,60,1,1,0.03,2,285,302,33.3333333333333,31
"flexible","Entire home/apt",2018,20,3,11,3.3,2,296,102,3.33333333333333,10.3333333333333
"moderate","Private room",2008,132,7,15,0.32,4,66,662,46.875,4.42857142857143
"strict","Private room",2021,228,5,112,1.59,3,18,1142,70.440251572327,6.2
"moderate","Entire home/apt",2004,238,3,33,1.12,1,259,1188,29.4642857142857,10.3333333333333
"strict","Entire home/apt",2010,35,3,1,0.03,4,0,176,33.3333333333333,10.3333333333333
"moderate","Private room",2020,114,30,2,0.21,2,233,572,9.52380952380952,1.03333333333333
"strict","Entire home/apt",2003,188,4,31,1.31,1,291,938,23.6641221374046,7.75
"flexible","Private room",2011,150,2,12,2.02,3,299,749,5.94059405940594,15.5
"strict","Entire home/apt",2009,20,30,2,0.15,3,364,102,13.3333333333333,1.03333333333333
"strict","Entire home/apt",2016,136,30,19,0.36,4,0,682,52.7777777777778,1.03333333333333
"strict","Private room",2011,83,1,3,2.5,2,0,413,1.2,31
"moderate","Private room",2007,80,3,30,0.65,2,155,399,46.1538461538462,10.3333333333333
"moderate","Private room",2005,182,3,25,3.35,5,339,908,7.46268656716418,10.3333333333333
"flexible","Entire home/apt",2017,196,30,62,0.74,1,8,982,83.7837837837838,1.03333333333333
"strict","Entire home/apt",2005,82,7,6,0.23,5,52,411,26.0869565217391,4.42857142857143
"flexible","Private room",2006,191,2,5,1.35,2,112,954,3.7037037037037,15.5
"moderate","Private room",2021,15,21,1,0.18,5,55,75,5.55555555555556,1.47619047619048
"flexible","Private room",2010,171,7,1,0.83,2,21,854,1.20481927710843,4.42857142857143
"strict","Entire home/apt",2003,92,2,36,5.24,3,191,459,6.87022900763359,15.5
"moderate","Private room",2017,86,4,17,0.76,4,0,430,22.3684210526316,7.75
"moderate","Entire home/apt",2019,39,4,4,0.09,2,178,194,44.4444444444444,7.75
"strict","Entire home/apt",2020,30,1,25,7.98,4,12,151,3.1328320802005,31
"moderate","Entire home/apt",2022,23,1,1,0.03,2,365,115,33.3333333333333,31
"strict","Private room",2019,180,1,1,1,2,88,899,1,31
"strict","Private room",2022,237,2,111,4.46,3,109,1184,24.8878923766816,15.5
"strict","Private room",2013,142,1,23,7.04,3,48,708,3.26704545454545,31
"moderate","Private room",2012,238,3,3,1.61,4,180,1188,1.86335403726708,10.3333333333333
"strict","Private room",2013,131,28,14,0.5,2,0,655,28,1.10714285714286
"flexible","Private room",2019,26,3,1,0.04,3,0,132,25,10.3333333333333
"moderate","Private room",2019,229,1,9,0.19,2,23,1143,47.3684210526316,31
"flexible","Entire home/apt",2011,232,30,21,0.61,5,108,1160,34.4262295081967,1.03333333333333
"strict","Private room",2004,46,1,23,2.18,4,365,229,10.5504587155963,31
"moderate","Entire home/apt",2022,127,5,7,0.11,4,402,636,63.6363636363636,6.2
"flexible","Private room",2009,152,3,16,4.03,4,33,761,3.97022332506203,10.3333333333333
"flexible","Entire home/apt",2005,142,2,44,5.22,3,93,710,8.42911877394636,15.5
"moderate","Entire home/apt",2020,194,2,116,3.78,1,230,969,30.6878306878307,15.5
"moderate","Entire home/apt",2008,89,60,1,0.17,3,258,447,5.88235294117647,0.516666666666667
"strict","Private room",2009,185,1,10,0.63,2,179,926,15.8730158730159,31
"moderate","Private room",2004,225,1,17,0.4,4,44,1127,42.5,31
"moderate","Private room",2005,70,1,12,0.68,2,89,349,17.6470588235294,31
"flexible","Private room",2020,64,2,6,0.3,2,0,318,20,15.5
"flexible","Private room",2009,29,1,1,0.03,5,255,145,33.3333333333333,31
"flexible","Entire home/apt",2017,177,21,8,0.77,5,80,886,10.3896103896104,1.47619047619048
"moderate","Private room",2014,204,1,5,0.17,2,356,1022,29.4117647058824,31
"moderate","Private room",2021,224,1,1,0.5,2,357,1120,2,31
"flexible","Entire home/apt",2006,85,3,11,0.36,2,0,423,30.5555555555556,10.3333333333333
"strict","Entire home/apt",2021,14,10,8,0.17,2,203,71,47.0588235294118,3.1
"moderate","Private room",2017,101,2,36,3.17,4,218,503,11.3564668769716,15.5
"flexible","Private room",2005,226,2,22,0.76,5,88,1129,28.9473684210526,15.5
"strict","Entire home/apt",2017,211,3,6,0.57,3,0,1057,10.5263157894737,10.3333333333333
"strict","Private room",2004,164,1,94,2.14,3,350,822,43.9252336448598,31
"strict","Entire home/apt",2013,103,4,2,0.12,4,0,517,16.6666666666667,7.75
"moderate","Entire home/apt",2016,125,2,34,2.37,2,205,623,14.3459915611814,15.5
"strict","Entire home/apt",2004,158,2,19,0.99,2,15,792,19.1919191919192,15.5
"strict","Private room",2022,234,2,257,6.91,2,11,1171,37.1924746743849,15.5
"strict","Entire home/apt",2004,100,2,11,2.92,2,38,499,3.76712328767123,15.5
"moderate","Private room",2016,18,3,3,0.14,2,352,91,21.4285714285714,10.3333333333333
"flexible","Entire home/apt",2022,111,2,35,1.52,4,129,554,23.0263157894737,15.5
"strict","Entire home/apt",2016,230,1,111,2.2,4,62,1149,50.4545454545455,31
"moderate","Private room",2006,222,7,12,0.55,3,342,1108,21.8181818181818,4.42857142857143
"strict","Shared room",2008,127,1,10,6.82,4,351,633,1.46627565982405,31
"strict","Entire home/apt",2013,79,3,52,4.64,4,228,396,11.2068965517241,10.3333333333333
"flexible","Private room",2022,209,1,436,16.03,1,337,1043,27.199001871491,31
"strict","Entire home/apt",2006,129,3,116,1.32,5,215,647,87.8787878787879,10.3333333333333
"moderate","Private room",2015,172,1,9,0.22,4,209,860,40.9090909090909,31
"moderate","Entire home/apt",2013,203,4,203,2.03,2,155,1015,100,7.75
"moderate","Entire home/apt",2010,94,2,78,2.55,3,149,469,30.5882352941176,15.5
"moderate","Private room",2005,133,1,111,3.77,2,9,664,29.4429708222812,31
"strict","Entire home/apt",2009,33,1,14,0.33,5,0,164,42.4242424242424,31
"flexible","Private room",2011,206,1,7,0.23,2,0,1032,30.4347826086957,31
"moderate","Private room",2015,109,1,1,1,5,51,547,1,31
"flexible","Entire home/apt",2016,178,30,6,0.24,4,0,889,25,1.03333333333333
"flexible","Private room",2010,209,3,4,0.43,5,85,1043,9.30232558139535,10.3333333333333
"moderate","Entire home/apt",2019,24,30,5,0.51,2,74,121,9.80392156862745,1.03333333333333
"flexible","Entire home/apt",2014,234,2,19,1.84,3,0,1168,10.3260869565217,15.5
"moderate","Private room",2018,238,7,15,0.7,2,71,1192,21.4285714285714,4.42857142857143
"flexible","Entire home/apt",2009,151,30,5,0.12,4,75,757,41.6666666666667,1.03333333333333
"moderate","Entire home/apt",2014,120,3,88,2.56,5,321,599,34.375,10.3333333333333
"flexible","Entire home/apt",2018,104,2,24,3.55,5,158,522,6.76056338028169,15.5
"strict","Private room",2003,73,1,1,1,4,362,366,1,31
"moderate","Entire home/apt",2012,39,2,4,1.97,5,333,196,2.03045685279188,15.5
"moderate","Entire home/apt",2013,150,1,1,0.25,5,88,752,4,31
"moderate","Private room",2022,133,1,1,0.02,5,143,664,50,31
"flexible","Entire home/apt",2016,94,4,26,0.62,3,288,472,41.9354838709677,7.75
"moderate","Entire home/apt",2021,34,3,2,0.07,1,0,171,28.5714285714286,10.3333333333333
"flexible","Entire home/apt",2006,102,4,13,0.68,2,111,512,19.1176470588235,7.75
"strict","Entire home/apt",2018,104,12,1,0.16,4,0,521,6.25,2.58333333333333
"strict","Entire home/apt",2014,68,2,100,3.67,5,91,341,27.2479564032698,15.5
"moderate","Private room",2003,33,1,50,0.61,4,37,167,81.9672131147541,31
"moderate","Private room",2014,128,5,32,1.14,4,350,640,28.0701754385965,6.2
"moderate","Private room",2010,50,1,5,0.12,1,307,250,41.6666666666667,31
"moderate","Entire home/apt",2022,22,3,48,1.42,1,3,111,33.8028169014085,10.3333333333333
"flexible","Entire home/apt",2003,71,1,24,1.3,2,328,353,18.4615384615385,31
"moderate","Entire home/apt",2014,85,2,5,0.16,3,9,426,31.25,15.5
"strict","Entire home/apt",2005,180,2,33,0.9,2,1,900,36.6666666666667,15.5
"flexible","Private room",2014,71,7,9,0.28,5,0,353,32.1428571428571,4.42857142857143
"flexible","Private room",2020,207,2,102,3.33,3,99,1036,30.6306306306306,15.5
"flexible","Entire home/apt",2016,178,30,6,0.24,4,0,889,25,1.03333333333333
"moderate","Private room",2019,135,4,10,1.06,4,7,677,9.43396226415094,7.75
"moderate","Entire home/apt",2020,197,2,46,0.8,5,392,984,57.5,15.5
"flexible","Private room",2011,27,3,3,0.09,3,0,134,33.3333333333333,10.3333333333333
"flexible","Entire home/apt",2004,116,2,128,3.77,4,93,582,33.9522546419098,15.5
"strict","Entire home/apt",2003,159,3,7,4.2,4,299,796,1.66666666666667,10.3333333333333
"flexible","Private room",2005,75,2,53,2.3,2,8,375,23.0434782608696,15.5
"flexible","Private room",2004,33,2,55,1.28,1,306,163,42.96875,15.5
"moderate","Entire home/apt",2003,113,1,68,1.18,4,0,564,57.6271186440678,31
"flexible","Entire home/apt",2008,82,1,52,3.59,3,262,408,14.4846796657382,31
"flexible","Private room",2010,37,1,5,0.13,3,28,184,38.4615384615385,31
"flexible","Private room",2011,138,1,25,0.88,2,0,689,28.4090909090909,31
"flexible","Entire home/apt",2003,203,30,11,0.39,4,249,1016,28.2051282051282,1.03333333333333
"strict","Private room",2017,187,3,3,1.8,3,56,933,1.66666666666667,10.3333333333333
"strict","Private room",2022,130,2,30,2.61,4,24,650,11.4942528735632,15.5
"strict","Entire home/apt",2004,164,1,10,0.22,5,86,819,45.4545454545455,31
"strict","Private room",2006,31,2,36,1.03,3,357,154,34.9514563106796,15.5
"strict","Private room",2008,189,3,10,1.06,5,89,947,9.43396226415094,10.3333333333333
"strict","Entire home/apt",2019,105,5,10,0.17,5,36,525,58.8235294117647,6.2
"strict","Private room",2007,92,1,2,0.09,2,0,462,22.2222222222222,31
"moderate","Private room",2013,91,2,80,3.11,4,3,455,25.7234726688103,15.5
"moderate","Private room",2011,73,3,36,1.29,4,308,365,27.906976744186,10.3333333333333
"flexible","Entire home/apt",2017,153,3,7,0.41,2,0,767,17.0731707317073,10.3333333333333
"flexible","Private room",2021,198,3,10,0.33,5,179,990,30.3030303030303,10.3333333333333
"moderate","Private room",2022,124,1,108,3.8,5,243,619,28.4210526315789,31
"flexible","Entire home/apt",2010,238,4,71,2.3,2,230,1191,30.8695652173913,7.75
"flexible","Entire home/apt",2015,97,1,1,0.02,1,225,487,50,31
"moderate","Private room",2018,102,4,126,3.81,2,163,508,33.0708661417323,7.75
"moderate","Private room",2008,157,5,2,0.14,3,0,783,14.2857142857143,6.2
"flexible","Entire home/apt",2017,68,2,7,0.47,4,342,342,14.8936170212766,15.5
"moderate","Private room",2017,183,4,1,0.05,4,0,916,20,7.75
"flexible","Entire home/apt",2010,95,3,23,0.51,5,2,477,45.0980392156863,10.3333333333333
"flexible","Private room",2009,147,1,9,3.38,2,273,733,2.66272189349112,31
"flexible","Private room",2005,237,1,1,0.06,2,364,1184,16.6666666666667,31
"flexible","Entire home/apt",2019,192,1,3,3,2,228,958,1,31
"moderate","Entire home/apt",2005,52,1,1,0.48,2,365,258,2.08333333333333,31
"moderate","Private room",2021,200,7,11,0.26,1,211,1000,42.3076923076923,4.42857142857143
"moderate","Private room",2003,162,2,216,2.66,2,286,811,81.203007518797,15.5
"moderate","Private room",2012,180,4,61,2.81,4,178,900,21.7081850533808,7.75
"strict","Private room",2015,105,5,5,0.93,5,69,525,5.37634408602151,6.2
"flexible","Private room",2007,118,2,19,1.23,4,149,589,15.4471544715447,15.5
"flexible","Entire home/apt",2016,50,1,1,0.02,5,157,248,50,31
"strict","Private room",2004,179,3,3,0.11,1,0,897,27.2727272727273,10.3333333333333
"moderate","Entire home/apt",2019,38,2,2,0.06,4,0,192,33.3333333333333,15.5
"moderate","Private room",2012,234,55,4,0.17,1,0,1168,23.5294117647059,0.563636363636364
"flexible","Entire home/apt",2004,147,2,24,3.87,3,160,737,6.2015503875969,15.5
"moderate","Entire home/apt",2018,26,2,17,4.77,3,229,128,3.56394129979036,15.5
"strict","Private room",2017,28,15,2,0.07,5,0,138,28.5714285714286,2.06666666666667
"strict","Private room",2020,137,2,19,0.73,1,0,685,26.027397260274,15.5
"strict","Private room",2004,198,2,259,5.44,5,308,989,47.6102941176471,15.5
"strict","Entire home/apt",2004,238,2,51,5.39,5,15,1189,9.46196660482375,15.5
"moderate","Private room",2018,65,2,33,0.7,5,370,323,47.1428571428571,15.5
"strict","Private room",2009,65,1,70,3.55,4,283,323,19.7183098591549,31
"strict","Private room",2012,70,30,2,0.25,2,0,350,8,1.03333333333333
"flexible","Entire home/apt",2010,55,3,18,0.44,5,333,273,40.9090909090909,10.3333333333333
"strict","Private room",2009,17,3,100,2.81,3,0,87,35.5871886120996,10.3333333333333
"moderate","Private room",2004,83,21,1,0.03,5,0,413,33.3333333333333,1.47619047619048
"flexible","Private room",2015,194,2,3,1.13,3,179,971,2.65486725663717,15.5
"moderate","Private room",2021,165,4,16,5,4,166,824,3.2,7.75
"flexible","Entire home/apt",2022,186,2,4,0.16,4,0,929,25,15.5
"strict","Entire home/apt",2019,93,3,7,0.7,2,0,466,10,10.3333333333333
"moderate","Private room",2014,90,7,2,1.62,4,68,449,1.23456790123457,4.42857142857143
"moderate","Entire home/apt",2006,197,2,1,0.06,5,342,984,16.6666666666667,15.5
"strict","Private room",2011,127,1,40,0.62,4,353,634,64.5161290322581,31
"strict","Entire home/apt",2013,98,12,11,0.39,3,0,490,28.2051282051282,2.58333333333333
"flexible","Private room",2019,226,1,3,0.13,1,0,1130,23.0769230769231,31
"strict","Private room",2016,141,1,4,1.58,3,315,707,2.53164556962025,31
"flexible","Entire home/apt",2016,152,1,29,1.44,5,177,759,20.1388888888889,31
"moderate","Private room",2013,198,2,206,2.48,2,180,989,83.0645161290323,15.5
"moderate","Entire home/apt",2007,106,5,4,0.06,5,0,532,66.6666666666667,6.2
"strict","Entire home/apt",2019,181,3,14,3.65,3,76,904,3.83561643835616,10.3333333333333
"strict","Private room",2006,234,30,3,0.18,4,365,1169,16.6666666666667,1.03333333333333
"moderate","Entire home/apt",2007,69,2,14,5,5,32,343,2.8,15.5
"strict","Private room",2010,229,2,3,0.09,5,253,1143,33.3333333333333,15.5
"flexible","Entire home/apt",2018,179,6,25,0.65,2,40,894,38.4615384615385,5.16666666666667
"flexible","Private room",2020,61,2,28,0.55,4,72,304,50.9090909090909,15.5
"flexible","Entire home/apt",2009,27,1,3,0.06,3,179,137,50,31
"strict","Private room",2008,69,1,38,3.52,3,363,344,10.7954545454545,31
"moderate","Entire home/apt",2010,104,3,106,1.42,5,227,520,74.6478873239437,10.3333333333333
"moderate","Entire home/apt",2011,20,7,3,0.3,2,44,99,10,4.42857142857143
"moderate","Private room",2010,92,1,151,3.17,4,134,462,47.6340694006309,31
"strict","Shared room",2014,162,1,24,0.67,2,84,812,35.8208955223881,31
"flexible","Entire home/apt",2021,45,2,5,2.94,5,298,224,1.70068027210884,15.5
"flexible","Entire home/apt",2013,12,4,78,2.6,2,29,59,30,7.75
"moderate","Entire home/apt",2015,69,2,34,4.06,4,12,343,8.3743842364532,15.5
"moderate","Private room",2019,95,6,3,0.07,3,290,475,42.8571428571429,5.16666666666667
"moderate","Entire home/apt",2016,143,30,55,0.54,5,16,717,101.851851851852,1.03333333333333
"moderate","Entire home/apt",2017,115,1,1,1,3,356,573,1,31
"flexible","Entire home/apt",2010,60,2,43,1.32,5,0,301,32.5757575757576,15.5
"flexible","Entire home/apt",2018,27,5,24,1.39,5,37,134,17.2661870503597,6.2
"moderate","Entire home/apt",2005,181,30,1,0.11,3,352,906,9.09090909090909,1.03333333333333
"strict","Entire home/apt",2003,121,3,51,1.14,5,30,604,44.7368421052632,10.3333333333333
"moderate","Private room",2012,96,5,3,0.31,4,0,478,9.67741935483871,6.2
"moderate","Entire home/apt",2019,183,30,1,0.15,4,108,917,6.66666666666667,1.03333333333333
"strict","Private room",2016,80,1,360,4.79,4,273,400,75.1565762004175,31
"strict","Private room",2020,165,30,11,0.79,4,257,823,13.9240506329114,1.03333333333333
"strict","Entire home/apt",2009,172,1,3,3,2,65,861,1,31
"strict","Entire home/apt",2015,146,2,18,0.26,3,108,728,69.2307692307692,15.5
"strict","Private room",2010,97,1,20,4.29,3,7,487,4.66200466200466,31
"moderate","Private room",2005,123,1,3,3,4,361,613,1,31
"flexible","Entire home/apt",2012,125,2,12,0.41,3,0,626,29.2682926829268,15.5
"moderate","Entire home/apt",2005,50,30,9,0.19,4,330,252,47.3684210526316,1.03333333333333
"flexible","Entire home/apt",2022,135,2,8,0.34,5,5,675,23.5294117647059,15.5
"strict","Private room",2005,223,4,1,1,5,15,1114,1,7.75
"moderate","Private room",2016,198,1,12,0.35,5,170,989,34.2857142857143,31
"moderate","Private room",2019,131,1,10,1.13,4,4,655,8.8495575221239,31
"flexible","Entire home/apt",2020,205,30,32,0.56,4,38,1026,57.1428571428571,1.03333333333333
"moderate","Entire home/apt",2022,226,1,80,2.32,4,73,1128,34.4827586206897,31
"flexible","Private room",2009,177,1,4,0.15,5,0,886,26.6666666666667,31
"flexible","Private room",2006,179,2,24,2.93,4,337,893,8.19112627986348,15.5
"strict","Entire home/apt",2014,47,1,54,1.15,3,365,235,46.9565217391304,31
"strict","Private room",2005,124,3,6,0.52,3,0,622,11.5384615384615,10.3333333333333
"moderate","Private room",2005,208,1,38,2.61,3,0,1040,14.5593869731801,31
"strict","Entire home/apt",2013,98,4,3,0.13,4,0,491,23.0769230769231,7.75
"flexible","Entire home/apt",2017,152,1,5,0.66,3,3,761,7.57575757575758,31
"moderate","Private room",2005,112,7,3,0.19,5,357,560,15.7894736842105,4.42857142857143
"flexible","Private room",2014,105,1,2,0.23,3,180,524,8.69565217391304,31
"strict","Private room",2010,166,7,99,1.28,4,90,829,77.34375,4.42857142857143
"moderate","Private room",2017,47,6,3,0.11,5,33,237,27.2727272727273,5.16666666666667
"strict","Private room",2012,158,1,12,0.33,4,0,790,36.3636363636364,31
"strict","Entire home/apt",2014,234,30,11,0.21,4,186,1172,52.3809523809524,1.03333333333333
"strict","Entire home/apt",2005,117,30,10,0.42,2,278,585,23.8095238095238,1.03333333333333
"strict","Entire home/apt",2022,84,2,20,1.17,1,0,418,17.0940170940171,15.5
"flexible","Private room",2013,130,7,8,0.26,1,0,648,30.7692307692308,4.42857142857143
"moderate","Entire home/apt",2014,132,2,3,0.26,5,0,662,11.5384615384615,15.5
"strict","Shared room",2022,27,1,5,1.38,2,365,137,3.6231884057971,31
"moderate","Entire home/apt",2013,98,12,11,0.39,3,0,490,28.2051282051282,2.58333333333333
"strict","Shared room",2006,202,1,116,4.09,3,5,1011,28.361858190709,31
"flexible","Private room",2019,190,1,10,0.76,4,62,951,13.1578947368421,31
"strict","Private room",2017,28,1,24,4.16,3,242,142,5.76923076923077,31
"moderate","Entire home/apt",2006,67,2,24,0.53,1,296,334,45.2830188679245,15.5
"strict","Private room",2006,213,3,5,0.22,2,0,1065,22.7272727272727,10.3333333333333
